PROJID,PROJNAME,STATENUM,FEDNUM,REGION,LOCATION,PROJMAN,PHONENUM,ANTADVDT,DESCRIPTION,ADDLINFO,ENGEST
CFHWY00386,"OLD SEWARD HIGHWAY, DIMOND BLVD TO DOWLING RD PP",CFHWY00386,537009,Central Region,Anchorage,Sean M Baski,(907)269-0547,February 2022,"This federally funded project will resurface Old Seward Highway from Dimond Blvd to Dowling Road. This project includes resurfacing, roadside hardware, drainage improvements, intersection improvements, and ADA improvements as necessary.","<a class=linkcopy href=""http://dot.state.ak.us/creg/design/highways/Projects/00386/00386_Plans.pdf"">Preliminary Plans (~9 Mb) </a><img name=""pdf_icon"" src=""/images/styls/pdf_icon.gif"" width=""18"" height=""18"" border=""0"">","Between $2,500,000 and $5,000,000"
21-25-1-032,Red Devil Airport (RDV) Surface Preservation Maintenance (SPM),21-25-1-032,CFAPT00824 / AIP 3-02-0246-XXX-2022,Central Region,Red Devil,Michael D Cook,(907)269-0767,February 2022,"Scarify, reshape and recompact surfacing material at runway, taxiway, and apron to proper profile. Apply dust palliative to retain the critical fine particles now present in the crushed surface and to bind aggregate to prevent loss of fines from the runway, taxiway, and apron surfaces.  Apply dust palliative for RWY 10/28 (4,800 LF), TWYs A (325 LF), B (220 LF) and Apron (13,333 SY).  Work shall consist of spot treatments for all areas within the limits designated on the drawings or as required by the Project Manager.   All work shall be in accordance with the Alaska Department of Transportation & Public Facilities “Standard Specifications for Airport Construction, revised 01/01/20” and attachments.  Payment shall be made at the contract unit price.  This payment shall be full compensation for all requirements of this contract.",,"Between $200,000 and $500,000"
CFHWY00223,"A STREET, NORTHERN LIGHTS TO 40TH AVE PAVEMENT PRESERVATION",CFHWY00223,527030,Central Region,Anchorage,Kevin L Jackson,(907)269-0610,March 2022,"Pavement preservation of A Street from Northern Lights Blvd to 40th Ave including improvements to drainage, intersections, ADA, roadside hardware, and utilities.",,"Between $2,500,000 and $5,000,000"
CFHWY00551,ANCHORAGE AREA DRAINAGE IMPROVEMENTS  FY2019,CFHWY00551,1651,Central Region,Anchorage,Galen K Jones,(907)269-0550,March 2022,"Drainage infrastructure maintenance/repair and erosion mitigation to eliminate threats to the State's transportation system within the Anchorage area. Infrastructure including culverts, drainage basins, storm drain systems, ditches, swales, bridge embankments and abutments, side slopes, erosion protection features (such as dikes and rip rap), and other pertinent drainage and erosion protection infrastructure will be repaired, replaced, or improved as necessary.

Roadways, pathways, sidewalks, and roadside appurtenances affected by drainage improvements are included.",,"Between $1,000,000 and $2,500,000"
CFHWY00677,HSIP: A ST. MIDTOWN COUPLET OVERHEAD SIGNAL INDICATION U/G,CFHWY00677,1684,Central Region,Anchorage,Kevin L Jackson,(907)269-0610,March 2022,Upgrade roadside hardware on A Street between Benson Boulevard and Northern Lights Boulevard. Work incudes removing and replacing the traffic signals at the intersection of Benson Boulevard and A Street and Northern Lights Boulevard and A Street and lighting system replacment adjacent to intersections.,,"Between $1,000,000 and $2,500,000"
CFHWY00366,HSIP: ANCHORAGE PEDESTRIAN LIGHTING,CFHWY00366,1607,Central Region,Anchorage,Christopher L Post,(907)269-7885,March 2022,"This HSIP Funded Project will increase visibility, reduce pedestrian/bicycle crashes and other traffic incidences by installing lighting. The proposed improvements are consistent with the Alaska Strategic Highway Safety Plan, Special Users Strategies to identify and implement appropriate engineering to address high-crash locations involving bicyclists and pedestrians. This project is also inline with MOA Vision Zero Safety Goals.","<a class=linkcopy href=""http://www.dot.state.ak.us/creg/design/highways/Projects/00366/00366.pdf"">Preliminary Plans (~38 Mb) </a><img name=""pdf_icon"" src=""/images/styls/pdf_icon.gif"" width=""18"" height=""18"" border=""0"">","Between $1,000,000 and $2,500,000"
CFAPT00882,LHD AIRCRAFT AND LAKESHORE DRIVE REHABILITATE,CFAPT00882,N/A,Central Region,Anchorage,Jennifer M Carle,(907)266-2731,March 2022,"Rehabilitate 9.600 ft of Aircraft and Lakeshore Dr from Voight Cir to the Lake Hood East property boundary south of runway 14/32. Project includes roadway reconditioning, structural section repairs, drainage improvements, and striping.",Rehabilitate Aircraft and Lakeshore Drive pavement.  Includes drainage improvements.,"Between $1,000,000 and $2,500,000"
CFHWY00428,Mchugh RWIS Tower Upgrade,CFHWY00428,0106(094),Central Region,Municipality Of Anchorage,John W Turley,(907)266-2171,March 2022,RWIS facilities must be migrated off of the existing tower at McHugh MP 111.8 of the Seward Highway.  The existing tower will be demolished and a new tower will be installed within DOT ROW.,,"Between $200,000 and $500,000"
Z585470000,QUARTZ CREEK BRIDGE REPLACEMENT,Z585470000,1531,Central Region,Cooper Landing,Christina A Huber,(907)269-0572,March 2022,Replace bridge #1020 across Quartz Creek on Quartz Creek Road.,Replace bridge #1020 across Quartz Creek on Quartz Creek Road.,"Between $5,000,000 and $10,000,000"
CSAPT00915,ANC RUNWAY 7R/25L JOINT REPAIR,CSAPT00915,N/A,Central Region,Anchorage,Jennifer M Carle,(907)266-2731,April 2022,"Project will include repairing longitudinal joints in the structural section of Runway 7R/25L. There is approximately 160,000 linear feet of joints to repair.",,"Between $2,500,000 and $5,000,000"
CFAPT00465,ANC TAXIWAY Z WEST IMPROVEMENTS,CFAPT00465,N/A,Central Region,Anchorage,Philip W Cheasebro,(907)269-0606,April 2022,"This Federally Funded contract provides geometric upgrades as necessary to accommodate larger ADG VI, TDG 6 aircraft. The proposed geometric upgrades include widening Taxiway's Z & E, constructing a new entrance Taxiway R, and rehabilitating Taxilane's R & E. Additional work includes:

•	Rehabilitate or relocate existing private taxilane approaches as needed 
•	Remove TW F entrance taxiway
•	Relocate existing service road
•	Drainage improvements
•	Replace taxiway lighting and sign and install new lights and signs as needed
•	Relocate/adjust utilities as needed
•	Relocate/adjust FAA NAVAIDS as needed","Pre PS&E review documents are located at the link:
<a class=linkcopy href="" https://dot.alaska.gov/creg/design/aviation/Tentative_Advertising_List_Docs/CFAPT00465 ANC Taxiway Z Improvements West - Phase 1 - PrePSE.pdf "">Preliminary Plans (~46 Mb) </a><img name=""pdf_icon"" src=""/images/styls/pdf_icon.gif"" width=""18"" height=""18"" border=""0"">","Between $20,000,000 and $30,000,000"
CFAPT00501,CHEFORNAK AIRPORT REHAB,CFAPT00501,3-02-0054-XXX-202X,Central Region,Chefornak,Aaron C Hughes,(907)269-0523,April 2022,"Rehabilitate the runway, taxiway, apron, and airport access road surfaces and replace airport lighting.",,"Between $10,000,000 and $20,000,000"
CFHWY00493,FUNNY RIVER RD PAVEMENT PRESERVATION,CFHWY00493,485002,Central Region,Kenai,Clint J Adler,(907)269-0544,April 2022,"Pavement preservation, bridge work, roadside hardware, drainage improvements, intersection improvements, ADA improvements and utilities.","Pavement preservation, bridge work, roadside hardware, drainage improvements, intersection improvements, ADA improvements and utilities.","Between $10,000,000 and $20,000,000"
CFHWY00300,Homer: West Hill Road Sterling Highway to Skyline Drive,CFHWY00300,1599,Central Region,Homer,Matthew H Hansen,(907)269-0602,April 2022,"Resurface the West Hill Road from the Sterling Highway to Skyline Dr.  Improvements may include signing, striping, drainage, pavement, dig-outs, curb ramps, guardrail, lighting, and utility relocation.","Resurface West Hill Road in Homer, Alaska from the Sterling Highway to Skyline Dr.","Between $2,500,000 and $5,000,000"
CFAPT00433,KONGIGANAK AIRPORT IMPROVEMENTS,CFAPT00433,3-02-0380-004-2022,Central Region,Kongiganak,Philip W Cheasebro,(907)269-0606,April 2022,"This project will rehabilitate airport surfaces, expand the apron and runway safety areas (RSA), install a Snow Removal Equipment Building (SREB) and relocate the existing SREB.  Install a rotating beacon on a tip-down pole, tie-downs, and replace airfield lighting at the Kongiganak Airport.

Expected FFY 2022 funding.","Pre PS&E review documents are located at the link below:

<a class=linkcopy href=""http://www.dot.state.ak.us/creg/design/aviation/Tentative_Advertising_List_Docs/4_00433%20Kongiganak%20Pre%20PSE%20Plans_TAL.pdf"">Preliminary Plans (~13 Mb) </a><img name=""pdf_icon"" src=""/images/styls/pdf_icon.gif"" width=""18"" height=""18"" border=""0"">","Between $20,000,000 and $30,000,000"
CFHWY00132,MINNESOTA DR: TUDOR TO 15TH AVE PAVEMENT PRESERVATION,CFHWY00132,421099,Central Region,Anchorage,Clint J Adler,(907)269-0544,April 2022,"This is a Preventive Maintenance (PM) project for resurfacing Minnesota Drive in Anchorage, Alaska from Tudor Road to 15th Avenue.  It will also include, as necessary: guardrail, drainage, signalization, ADA curb ramp improvements, signs and striping.","Resurface Minnesota Drive in Anchorage, Alaska from Tudor Road to 15th Avenue. It will also include, roadside hardware, drainage, signalization, ADA curb ramp improvements.","Between $10,000,000 and $20,000,000"
CFAPT00293,SLEETMUTE AIRPORT RESURFACING,CFAPT00293,3-02-0272-00X-20XX,Central Region,Sleetmute,Aaron C Hughes,(907)269-0523,April 2022,"The project proposes to resurface the runway, taxiway, apron, and access roads at the Sleetmute Airport. Improvements may also include snow removal equipment buildings, lighting, markings, signs, navigational aids, drainage, and a dust palliative.","The project proposes to resurface the runway, taxiway, apron, and access road at the Sleetmute Airport.  Improvements may also include snow removal equipment buildings, lighting, markings, signs, navigational aids, drainage, a dust palliative, vegetation clearing, and utilities.  This project is expected to be ready to advertise but federal funding is not currently expected to be available this federal fiscal year.","Between $10,000,000 and $20,000,000"
CFHWY00568,AMATS: HILAND RD MP 0 TO MP 3.2 PAVEMENT PRESERVATION,CFHWY00568,1663,Central Region,Eagle River,Galen K Jones,(907)269-0550,May 2022,"Resurface Hiland Road, including milling, paving, minor subgrade rehabilitation, drainage improvements, updating guardrail and sign posts to meet current safety standards, replacing striping and select signage, curb and gutter, lighting, and roadside signal and or traffic data hardware.",,"Between $2,500,000 and $5,000,000"
CFHWY00490,COHOE LOOP RD MP 0-9.7 PAVEMENT PRESERVATION,CFHWY00490,1645,Central Region,Kasilof,Clint J Adler,(907)269-0544,May 2022,"Pavement preservation, roadside hardware, drainage improvements, intersection improvements, ADA improvements and utilities.",Resurface Cohoe Loop Road from MP 0 to 9. Includes roadside hardware and drainage improvements.,"Between $2,500,000 and $5,000,000"
CFHWY00260,CTF ALTERNATE ENTRANCE ALIGNMENT (WFL),CFHWY00260,AKBLM AFO 2014(1),Central Region,Anchorage,Christopher L Post,(907)269-7885,May 2022,Relocate the BLM Road to the Cambell Tract Facility 260 feet to align East 68th Avenue with intersection improvements to include bus stop and integration to existing signalized intersection.,,"Between $2,500,000 and $5,000,000"
CFHWY00395,ELMORE ROAD PAVEMENT PRESERVATION: ABBOTT RD TO PROVIDENCE,CFHWY00395,1642,Central Region,Anchorage,Christopher L Post,(907)269-7885,May 2022,"Pavement Preservation project for Elmore Road: Abbott Rd. to Providence Dr. This project includes resurfacing, roadside hardware, drainage improvements, intersection improvements, and ADA improvements as necessary.",,"Between $10,000,000 and $20,000,000"
CFHWY00648,MAT-SU BOROUGH ROAD REPAIRS - NOV 2018 EQ PERM REPAIRS (MSB),CFHWY00648,92010,Central Region,Matanuska-Susitna Borough,Steven J Rzepka,(907)269-0592,May 2022,"This project will design and construct repairs for the November 30, 2018 earthquake in the Central Region of Alaska on Point MacKenzie Road, Vine Road, and South Settlers Bay Drive. Repairs may include, but are not limited to, asphalt, embankment, roadside hardware, retaining walls, utilities, and drainage.",,"Between $5,000,000 and $10,000,000"
CFAPT00269,MEKORYUK AIRPORT SNOW REMOVAL EQUIPMENT BUILDING,CFAPT00269,AIP 3-02-0176-003-2022,Central Region,Mekoryuk,Matthew R Epp,(907)764-4881,May 2022,"Project will construct a new heated 2-bay SREB, vehicle fueling station..","Pre PS&E review documents are located at the link:
<a class=linkcopy href="" https://dot.alaska.gov/creg/design/aviation/Tentative_Advertising_List_Docs/6_00288%20-%20Mekoryuk%20Airport%20Rehabilitation%20Pre%20PSE-TAS.pdf "">Preliminary Plans (~20 Mb) </a><img name=""pdf_icon"" src=""/images/styls/pdf_icon.gif"" width=""18"" height=""18"" border=""0"">","Between $1,000,000 and $2,500,000"
CFHWY00406,MULDOON RD - DEBARR RD TO E 36TH AVE PAVEMENT PRESERVATION,CFHWY00406,544022,Central Region,Anchorage,Sean M Baski,(907)269-0547,May 2022,"This is a preventative maintenance project for resurfacing Muldoon Road from Debarr Road to East 36th Avenue. This project includes resurfacing, roadside hardware, drainage improvements, intersection improvements, and ADA improvements as necessary.",,"Between $5,000,000 and $10,000,000"
CFHWY00109,SEWARD HWY: MP 0 TO 8 PAVEMENT PRESERVATION,CFHWY00109,311034,Central Region,Seward,Christopher L Bentz,(907)269-0652,May 2022,"Resurface the Seward Highway from Milepoint 0-8.  The project will also include, as necessary, improvements to pedestrian curb ramps, guardrail, guardrail end treatments, dig-outs, drainage repair, sign replacement, replacement striping, and utility adjustments as needed.","Resurface the Seward Highway from MP 0-8.  Project also includes markings, signage, pedestrian curb ramps, guardrail, guardrail end sections, brush clearing, drainage improvements, and utility adjustments.","Between $5,000,000 and $10,000,000"
CFHWY00253,KENAI SPUR RD REHAB: SPORTS LAKE RD TO SWIRES RD PH 2,CFHWY00253,221019,Central Region,Kenai,Christina A Huber,(907)269-0572,June 2022,This project will rehabilitate the Kenai Spur Highway between Soldotna and Kenai. A 5-lane highway will be constructed between the Sports Lake Road and Robin Drive intersections to increase capacity and improve safety. This is the second of two phases to construct the project.,,"Between $20,000,000 and $30,000,000"
Z512210000,"Seward Meridian Parkway Road Improvements, Phase II
Palmer-Wasilla Highway to Seldon Road",Z512210000,1417,Central Region,Wasilla,Christopher L Bentz,(907)269-0652,June 2022,"Upgrade Seward Meridian to a four-lane roadway and a multi-use, separated pathway along the west side from the Palmer-Wasilla Highway to Bogard Road and extend SMP one mile from Bogard Road to Seldon Road.  Intersection improvements include a new roundabout at the Bogard Road intersection and a new signal at Seldon Road.  A new bridge, Cottonwood Creek Bridge #1696, would replace the existing culvert at the Cottonwood Creek crossing.",,"Between $20,000,000 and $30,000,000"
CSAPT00566,ANC Parking Garage PG111 Repairs and Improvement,CSAPT00566,N/A,Central Region,Anchorage,John W Turley,(907)266-2171,July 2022,This project will replace the roof membrane on the roof level of PG-111. Parking Garage and will make repairs to floor deck spalling and electric lighting that have resulted from water infiltration.,,
CFHWY00006,Colleen Street Intersection and Frontage Road,CFHWY00006,0A15033,Central Region,Palmer,Sean M Baski,(907)269-0547,July 2022,"Construct improvements to the Glenn Highway and South Colleen Street intersection, and improve connectivity and access.","<a class=linkcopy href=""http://dot.state.ak.us/creg/design/highways/Projects/00431/00431_Plans.pdf"">Preliminary Plans (~37 Mb) </a><img name=""pdf_icon"" src=""/images/styls/pdf_icon.gif"" width=""18"" height=""18"" border=""0"">",
CFHWY00431,Glenn Hwy: Parks Hwy to S. Inner Springer Lp. (Phase II),CFHWY00431,0A15037,Central Region,Palmer,Sean M Baski,(907)269-0547,July 2022,"This project will reconstruct the Glenn Highway from the Parks Highway to S. Inner Springer Loop as a four-lane divided highway. Project work will add lanes, widen shoulders, add turn lanes and frontage roads, signals, illumination, other traffic safety related improvements.","<a class=linkcopy href=""http://dot.state.ak.us/creg/design/highways/Projects/00431/00431_Plans.pdf"">Preliminary Plans (~54 Mb) </a><img name=""pdf_icon"" src=""/images/styls/pdf_icon.gif"" width=""18"" height=""18"" border=""0"">","Between $20,000,000 and $30,000,000"
CFHWY00432,Glenn Hwy: Parks to S. Inner Springer Lp. Pathway (Phase II),CFHWY00432,0A15038,Central Region,Palmer,Sean M Baski,(907)269-0547,July 2022,"This project will construct a pathway along the Glenn Highway and other roads. It also includes roadside hardware and drainage, intersection, and ADA improvements. This project will construct the second phase of the Glenn Hwy: Mile Post 34-42 Parks to Old Glenn Pathway project.","<a class=linkcopy href=""http://dot.state.ak.us/creg/design/highways/Projects/00431/00431_Plans.pdf"">Preliminary Plans (~54 Mb) </a><img name=""pdf_icon"" src=""/images/styls/pdf_icon.gif"" width=""18"" height=""18"" border=""0"">

Please note, this project will be advertising with project number CFHWY00431.","Between $1,000,000 and $2,500,000"
CFAPT00491,HOMER AIRPORT IMPROVEMENTS,CFAPT00491,N/A,Central Region,Homer,Matthew H Hansen,(907)269-0602,July 2022,"The project proposes to rehabilitate the runway and runway safety area; remove obstructions; rehabilitate Taxiways A & B; rehabilitate and expand the General Aviation apron toward the east; replace airfield lighting, remove Taxiway D; install a new turnaround taxiway at the east end of the runway, and install a new taxiway connecting the east end of the General Aviation apron to the runway.",,"Between $20,000,000 and $30,000,000"
Z581060000,STERLING HWY: MP 157-169 RECON-ANCHOR PT TO BAYCREST HILL,Z581060000,211052,Central Region,Kenai Peninsula,Kelly L Summers,(907)269-0546,August 2022,"Reconstruction and upgrading of 12 miles of Sterling Highway along existing corridor. Project upgrades include widening, construction of passing lanes, resurfacing, scenic turnouts, drainage improvements, minor realignment, and configuration to current AASHTO geometric standards. Also, rehabilitation/replacement of the North Fork Anchor River and Anchor River Bridges.","Reconstruct and upgrade 12 miles of the Sterling Hwy along the existing corridor from Anchor Pt to Baycrest Hill. Replacement of North Fork Anchor River and Anchor River Bridges. Project upgrades include widening, construction of passing lanes, resurfacing, drainage improvements, minor realignment, and configuration to current AASHTO geometric standards.","Between $80,000,000 and $90,000,000"
CFHWY00129,TAKOTNA RIVER BRIDGE REPLACEMENT,CFHWY00129,1569,Central Region,Takotna,Clint J Adler,(907)269-0544,August 2022,"Reconstruction (replacement) of the Takotna River Bridge (bridge #0463).  Reconstruction may include bridge work, roadside hardware, drainage improvements, and utilities.","Replacement of the Takotna River Bridge (bridge #0463).  May include bridge work, roadside hardware, drainage improvements, and utilities.","Between $5,000,000 and $10,000,000"
Z516210000,TAKOTNA: GOLD CR BRIDGE & TATALINA BRIDGE REPLACEMENT,Z516210000,000S783,Central Region,Takotna,Clint J Adler,(907)269-0544,August 2022,"The Alaska Department of Transportation and Public Facilities (DOT&PF) in cooperation with the Federal Highway Administration (FHWA) proposes to replace Gold Creek Bridge with a large diameter culvert, and replace the Tatalina River Bridge #462.","Replace Gold Creek Bridge with a large diameter culvert, and replace the Tatalina River Bridge.","Between $2,500,000 and $5,000,000"
CFHWY00286,DEARMOUN RD: E 140TH AVE - HILLSIDE DR PAVEMENT PRESERVATION,CFHWY00286,510007,Central Region,Anchorage,Jonathan W Knowles,(907)269-0643,October 2022,"Pavement Preservation of DeArmoun Rd. from East 140th Avenue to Hillside Drive including improvements to drainage, intersections, ADA, roadside hardware, and utilities. High Friction Surface Treatment may be reapplied.",,"Between $2,500,000 and $5,000,000"
CFHWY00564,HSIP: CR GUARDRAIL INVENTORY AND UPGRADE,CFHWY00564,1665,Central Region,Central,Christopher L Bentz,(907)269-0652,November 2022,"Prepare inventory by evaluating existing guardrail segments, end terminals, and associated hardware along several routes in Central Region for damage and adherence to current AKDOT&PF and FHWY standards. Use results of inventory to design and construct installation or updates to guardrail segments found in non- conformance with State and Federal standards.",,"Between $20,000,000 and $30,000,000"
CFHWY00939,HSIP:CR Guardrail Inventory and Upgrade (North),CFHWY00939,N/A,Central Region,Central Region,Christopher L Bentz,(907)269-0652,November 2022,"Prepare inventory by evaluating existing guardrail segments, end terminals, and associated hardware along several routes in Central Region for damage and adherence to current AKDOT&PF and FHWA standards. Use results of inventory to design and construct installation or updates to guardrail segments found in non-conformance with State and Federal standards.",,
CFHWY00938,HSIP:CR Guardrail Inventory and Upgrade (South),CFHWY00938,N/A,Central Region,Central Region,Christopher L Bentz,(907)269-0652,November 2022,"Prepare inventory by evaluating existing guardrail segments, end terminals, and associated hardware along several routes in Central Region for damage and adherence to current AKDOT&PF and FHWY standards. Use results of inventory to design and construct installation or updates to guardrail segments found in non- conformance with State and Federal standards.",,
2501000083,Ketchikan Pioneer Home Structural Upgrades,2501000083,N/A,Central Region,Central Region,Alyson K Wardell,(907)269-0869,November 2022,Seismic upgrades for roof and building structure,Advertise contingent upon funds by User Agency,"Between $500,000 and $1,000,000"
CFAPT00288,MEKORYUK AIRPORT REHABILITATION,CFAPT00288,3-02-0176-003-2022,Central Region,Mekoryuk,Philip W Cheasebro,(907)269-0606,December 2022,"Rehabilitate/reconstruct runway, taxiway, and access road. Install new lighting. Install new heated two-bay SREB and install dust palliative.","Pre PS&E review documents are located at the link:
<a class=linkcopy href="" https://dot.alaska.gov/creg/design/aviation/Tentative_Advertising_List_Docs/6_00288%20-%20Mekoryuk%20Airport%20Rehabilitation%20Pre%20PSE-TAS.pdf "">Preliminary Plans (~20 Mb) </a><img name=""pdf_icon"" src=""/images/styls/pdf_icon.gif"" width=""18"" height=""18"" border=""0"">","Between $20,000,000 and $30,000,000"
Z674660000,KTN FERRY TERMINAL IMPROVEMENTS (X-REF#SAMHS00015),Z674660000,000S855,Marine Highways,Ketchikan,Loren K Gehring,(907)465-8189,March 2022,"This project encompasses the replacement of an existing vessel berthing and turning dolphin structure at the west end of Berth 1;  placement of a new turning dolphin between Berths 1 and 3, refurbishment of fendering and 
platform components at the Berth 3 float; construction of a new pedestrian cover structure over the existing sidewalk from the terminal building to the Berth 3 approach; and the placement of cathodic protection anodes on all existing offshore pile supported structures at Berths 1 and 3.",Refurbish fender system at Berth 3 and conduct minor improvements to utilities at Berth 1.,"Between $2,500,000 and $5,000,000"
SAMHS00279,AUKE BAY TERMINAL BUILDING AND ELECTRICAL IMPROVEMENTS,SAMHS00279,9500150,Marine Highways,Juneau,Loren K Gehring,(907)465-8189,December 2022,"Make improvements to the Auke Bay Ferry Terminal Building, including: ticket counter modifications, bathroom modifications, door replacement, roof and gutter replacement, and drainage improvements.  This project would also provide a new East Berth vessel shore tie electrical connection.",,"Between $1,000,000 and $2,500,000"
NFAPT00537,NOR REG VARIOUS AIRPORTS VISUAL AID REPLACEMENT FFY2020,NFAPT00537,N/A,Northern Region,Regionwide,Daniel A Phillips,(907)451-2926,December 2021,"Replace visual aids at the following airports: Beaver, Birch Creek, Elim, and Koyuk.",,
